user_id,game_name,payment_month,total_revenue,total_revenue_previous,status,age,has_older_device_model,language
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-03-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-04-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-05-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-06-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-07-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-08-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-09-01,0.0,0.0,deactive,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-10-01,69.9,0.0,new,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-11-01,43.08,69.9,active,16,False,ru
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-12-01,0.0,43.08,churn,16,False,ru
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-03-01,0.0,0.0,deactive,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-04-01,0.0,0.0,deactive,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-05-01,0.0,0.0,deactive,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-06-01,0.0,0.0,deactive,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-07-01,31.14,0.0,new,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-08-01,18.48,31.14,active,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-09-01,21.87,18.48,active,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-10-01,16.35,21.87,active,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-11-01,0.0,16.35,churn,38,False,uk
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-12-01,46.379999999999995,0.0,back,38,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-03-01,0.0,0.0,deactive,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-04-01,0.0,0.0,deactive,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-05-01,0.0,0.0,deactive,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-06-01,0.0,0.0,deactive,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-07-01,0.0,0.0,deactive,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-08-01,13.29,0.0,new,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-09-01,43.92,13.29,active,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-10-01,21.06,43.92,active,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-11-01,12.45,21.06,active,30,False,uk
+osJakLn8jv4bzFmPieelw==,game 3,2022-12-01,31.32,12.45,active,30,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-03-01,0.0,0.0,deactive,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-04-01,0.0,0.0,deactive,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-05-01,0.0,0.0,deactive,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-06-01,0.0,0.0,deactive,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-07-01,0.0,0.0,deactive,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-08-01,22.65,0.0,new,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-09-01,0.0,22.65,churn,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-10-01,36.57,0.0,back,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-11-01,0.0,36.57,churn,18,False,uk
+uszcWROLhovU7doCmFOiQ==,game 2,2022-12-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-03-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-04-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-05-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-06-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-07-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-08-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-09-01,0.0,0.0,deactive,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-10-01,15.48,0.0,new,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-11-01,12.51,15.48,active,18,False,uk
/70HXakPPmIGA9K58CIOug==,game 3,2022-12-01,0.0,12.51,churn,18,False,uk
/ANyXfGUGtUS/bPw0/nW/w==,game 3,2022-03-01,0.0,0.0,deactive,28,False,uk
/ANyXfGUGtUS/bPw0/nW/w==,game 3,2022-04-01,0.0,0.0,deactive,28,False,uk
/ANyXfGUGtUS/bPw0/nW/w==,game 3,2022-05-01,0.0,0.0,deactive,28,False,uk
/ANyXfGUGtUS/bPw0/nW/w==,game 3,2022-06-01,0.0,0.0,deactive,28,False,uk
